Timestamp,What is your profession? ,Please indicate your gender,BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",How many people in Kerala do you financially support with your income?,How important is it for you to send money back to Kerala?, I send money to Kerala:,When the exchange rate is high (1 AED yields more INR):, I send money home:,"BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic (from March 1st to August 31st, 2020)?","BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic(from March 1st to August 31st, 2020)?","CEREALS & PULSES (Cereals and Pulses are items like Rice, Wheat, Bread, Maida, Rava, Dal varieties, et cetera) ","ANIMAL PROTEIN (Animal Protein is items like Chicken, Duck, Mutton, Beef, Fish, Eggs, etc) ","DAIRY PRODUCTS (Dairy Products are items like Milk, Yoghurt, Laban, Cheese, Labneh, Paneer, etc) ",Fruits and Vegetables,"PREPARED MEALS (Prepared Meals are items like Cup noodles, Heat & eat items like packaged curries, Maggi, Frozen chapati/paratha, Khubhus, Readymade idli/ appam batter, Restaurant take away/dine in, etc)  ","SWEETS AND SNACKS (Sweets and Snacks are items like Bakery items, Ice-cream, Chocolates, etc) ","PERSONAL CARE AND EFFECTS (Personal Care and Effects are items like Clothing, Footwear, Ornaments, Soap, Visiting Barber/beautician, etc) ","HOUSING RELATED EXPENDITURES (Housing Related expenditures are expenses like Housing Rent, Electricity Bill, Water Bill, etc)","HEALTHCARE (Healthcare includes expenses like Medicine fees, Doctor’s fees, Purchasing of medical equipment, Homeo medicines, etc)","TRANSPORTATION EXPENSES (Transportation expenses include expenses like Bus fare, Taxi fare, Petrol/Diesel costs, airplane fare, etc)","COMMUNICATION EXPENSES (Communication Expenses include expenses like Phone bills, Postage expenses, Internet expenses, etc)","RECREATION AND AMUSEMENT (Recreation and Amusement includes expenses like Cable connection fees, Newspapers, Playing Cards, carrom boards, etc)","HOUSEHOLD GOODS AND SERVICES (Household Goods and Services include items like Furniture, Bedding, Appliances like TV, Fridge, Washing machine, Stove, et cetera)"
8/6/2021 15:40:54,Security,Female,"5,001-10,000 AED","2,500-5,000 AED","Food, Utilities (any one or more of electricity, water )","Healthcare, Communication (phone bills, Internet connection, etc)",4,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,60%,20%,60,20,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Highly increased (by more than 100 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/6/2021 16:01:00,Nurse ,Female,"2,500-5,000 AED","2,500-5,000 AED",None,"Food, Housing, Healthcare, Transportation (Bus pass, fuel, etc)",12,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,50%,70%,30%,40%,No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change
8/6/2021 16:06:42,Driver ,Male,"2,500-5,000 AED","2,500-5,000 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",5 people ,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to Kerala,Once a month,30%,30%,50%,%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,Slightly Increased (by 1 -500 AED)
8/6/2021 16:11:01,Engineer,Male,"15,001-20,000 AED","15,001-20,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Communication (phone bills, Internet connection, etc)","Utilities (any one or more of electricity, water ), Healthcare, Communication (phone bills, Internet connection, etc)",0,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",I send less money to Kerala,In bulk amounts infrequently,50,60,10,5,No change,No change,Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED)
8/6/2021 16:26:10,Engineer ,Male,"10,001-15,000 AED","10,001-15,000 AED","Transportation (Bus pass, fuel, etc)",Laundry,4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,10,10,70,70,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/6/2021 16:46:22,Driver,Male,"2,500-5,000 AED","2,500-5,000 AED",None,None,8,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,In small amounts frequently,50%,20%,50 percentage,50 percentage,No change,Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/6/2021 16:47:16,Software engineer,Female,"10,001-15,000 AED","10,001-15,000 AED",None,None,None,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,20%,30%,50%,50%,No change,No change,No change,No change,No change,No change,No change,Slightly decreased (by 1 -500 AED),Highly decreased (by more than 100 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
8/6/2021 16:56:10,Banking,Female,"10,001-15,000 AED","10,001-15,000 AED",None,None,NA,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,50,50,10,10,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/6/2021 17:12:05,Electrician,Male,"20,001-25,000 AED","15,001-20,000 AED","Housing, Healthcare","Housing, Utilities (any one or more of electricity, water ), Healthcare",No,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,Once a month,65%,60%,72%,72%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),No change,No change,No change,No change,No change
8/6/2021 17:14:04,Student,Female,"0-2,500 AED","0-2,500 AED",None,None,Nobody ,Very Unimportant (Family is capable to live without my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,In bulk amounts infrequently,None ,None,0,0,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Highly decreased (by more than 500 AED),Highly decreased (by more than 100 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change
8/6/2021 17:18:00,Automation Engineer,Male,"5,001-10,000 AED","5,001-10,000 AED","Food, Housing, Transportation (Bus pass, fuel, etc)","Food, Housing, Transportation (Bus pass, fuel, etc)",1,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,In bulk amounts infrequently,25%,50%,20%,20%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 500 AED)
8/6/2021 17:24:09,Facility manager ,Male,"5,001-10,000 AED","5,001-10,000 AED","Healthcare, Transportation (Bus pass, fuel, etc)","Healthcare, Transportation (Bus pass, fuel, etc)",6,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,0%,0%,60%,60%,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,No change,No change,No change,Slightly Increased (by 1 -500 AED),No change,No change,No change,No change,Slightly Increased (by 1 -500 AED)
8/6/2021 17:34:12,Student,Male,"0-2,500 AED","0-2,500 AED",Housing,"Food, Housing",4,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,Once a month,50,20,5,8,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,No change,Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED)
8/6/2021 17:36:16,B. Tech,Male,"25,001-30,000 AED","15,001-20,000 AED",None,None,15,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,50,30,100000,3738383,No change,No change,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Highly increased (by more than 500 AED),Highly decreased (by more than 100 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change
8/6/2021 17:36:17,Doctor,Male,"0-2,500 AED","0-2,500 AED",None,None,1,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,50,10,10,5,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/6/2021 17:39:50,IT,Male,"0-2,500 AED","0-2,500 AED",None,None,3,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,80%,80%,60%,60%,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),No change,No change,No change,Highly increased (by more than 500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 500 AED)
8/6/2021 17:42:32,IT,Male,"2,500-5,000 AED","5,001-10,000 AED","Food, Housing","Food, Housing",5,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,In bulk amounts infrequently,80,80,80,80,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Slightly Increased (by 1 -100 AED),No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED)
8/6/2021 17:48:37,supervisior,Male,"0-2,500 AED","0-2,500 AED",None,None,4,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,15,5,40,35,Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 50 AED),No change,No change,No change,No change,No change,No change,No change
8/6/2021 17:56:46,Student,Male,"0-2,500 AED","0-2,500 AED",Healthcare,Food,4,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,In bulk amounts infrequently,29,9,50,55,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/6/2021 18:01:13,Still studying,Male,"2,500-5,000 AED","15,001-20,000 AED","Food, Housing","Utilities (any one or more of electricity, water )",Ten,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,In bulk amounts infrequently,Ten,Ten,1,1,No change,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
8/6/2021 18:11:18,HR,Male,"0-2,500 AED","2,500-5,000 AED","Food, Healthcare","Food, Healthcare",2,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,Once a month,12,14,60,40,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED)
8/6/2021 18:13:12,Passenger service executive,Female,"0-2,500 AED","0-2,500 AED","Transportation (Bus pass, fuel, etc)","Transportation (Bus pass, fuel, etc)",3,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,In small amounts frequently,100,50,75,Nil,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED),No change,Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/6/2021 18:15:09,B. Pharm ,Female,"5,001-10,000 AED","5,001-10,000 AED",Housing,Housing,As much as i can,Very Important (Family is totally dependent on my remittances),Both,I send less money to Kerala,Once a month,20,10,20,10,No change,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),No change,No change,No change,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/6/2021 18:22:08,Student,Male,"0-2,500 AED","0-2,500 AED",Food,Food,0,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,10,15,30,20,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Highly decreased (by more than 100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED)
8/6/2021 18:25:31,Student ,Male,"0-2,500 AED","0-2,500 AED",None,None,None,Very Unimportant (Family is capable to live without my remittances),Both,I send more money to Kerala,In small amounts frequently,1%,1%,1%,1%,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/6/2021 18:27:19,Banker,Female,"15,001-20,000 AED","15,001-20,000 AED","Food, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Food, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry",2,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to Kerala,When requested by family in Kerala,40%,20%,30%,50%,Slightly decreased (by 1 -50 AED),No change,No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -500 AED),No change,Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -500 AED)
8/6/2021 18:30:18,Student ,Male,"0-2,500 AED","0-2,500 AED","Housing, Healthcare","Housing, Healthcare",Nobody ,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,In small amounts frequently,30%,15%,20%,10%,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 500 AED),Slightly Increased (by 1 -100 AED),No change,Highly increased (by more than 50 AED),No change,No change
8/6/2021 18:34:30,Bank job,Female,"5,001-10,000 AED","5,001-10,000 AED",None,None,Lessthan  5000 only. ,Important (Family has some income but depends on my remittance to pull through),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,Lessthan 1percent,Lesthan 1 percent,Moretgan 1 percent,Morethan 1 percent,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED),Slightly decreased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change
8/6/2021 18:44:04,Medical,Female,"25,001-30,000 AED","25,001-30,000 AED","Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",2,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,In small amounts frequently,60%,40%,10%,5%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),No change,No change
8/6/2021 18:56:10,No pani,Female,"0-2,500 AED","5,001-10,000 AED",Housing,Housing,O,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,Nil,Nil,0.01%,Nil,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
8/6/2021 18:56:26,No pani,Female,"0-2,500 AED","5,001-10,000 AED",Housing,Housing,O,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,Nil,Nil,0.01%,Nil,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
8/6/2021 18:59:19,Nurse,Female,"0-2,500 AED","5,001-10,000 AED",Healthcare,Healthcare,5,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,When requested by family in Kerala,50%,50%,68%,70%,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
8/6/2021 19:05:16,Nurse,Female,"5,001-10,000 AED","10,001-15,000 AED",Healthcare,Healthcare,5,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,In small amounts frequently,60%,50%,50%,25%,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED)
8/6/2021 19:15:17,Business,Male,"25,001-30,000 AED","15,001-20,000 AED",None,None,2,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,When requested by family in Kerala,10,10,10%,10%,No change,No change,No change,No change,No change,No change,No change,No change,No change,Highly decreased (by more than 50 AED),No change,Slightly decreased (by 1 -50 AED),No change
8/6/2021 19:48:48,Btech ,Male,"0-2,500 AED","0-2,500 AED","Healthcare, Transportation (Bus pass, fuel, etc)",None,Nil,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,90%,50%,85%,40,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED),No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
8/6/2021 19:55:33,Security ,Male,"0-2,500 AED","0-2,500 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Healthcare, Transportation (Bus pass, fuel, etc)",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,30%,10%,90%,60 %,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/6/2021 20:33:32,Student ,Male,"5,001-10,000 AED","2,500-5,000 AED",Food,Food,2,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,2500,0,30,40,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Highly increased (by more than 100 AED),Slightly decreased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED)
8/6/2021 21:15:36,Student,Male,"0-2,500 AED","0-2,500 AED","Healthcare, Transportation (Bus pass, fuel, etc)",None,6,Unimportant (Family can support basic necessities even without my remittance),Both,I send more money to Kerala,Once a month,Yes,Yes,Ya,Ya,Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -500 AED)
8/7/2021 2:15:03,Banking,Male,"5,001-10,000 AED","5,001-10,000 AED",None,None,6,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,50,40,50©,30%,Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,Slightly Increased (by 1 -500 AED)
8/7/2021 5:57:36,Engineer,Male,"20,001-25,000 AED","20,001-25,000 AED","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",2,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,In bulk amounts infrequently,25,40,18,30,No change,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -500 AED),No change,No change,No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
8/7/2021 8:20:40,Business Development Executive,Male,"2,500-5,000 AED","2,500-5,000 AED","Communication (phone bills, Internet connection, etc)","Communication (phone bills, Internet connection, etc)",2,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,30%,30%,25%,25%,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/7/2021 8:42:22,Sales Maneger,Male,"5,001-10,000 AED","2,500-5,000 AED","Food, Housing, Transportation (Bus pass, fuel, etc)",None,8,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,Nothing ,Nothing ,Monthly 1000 aed,500 aed,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/7/2021 8:42:35,Sales Maneger,Male,"5,001-10,000 AED","2,500-5,000 AED","Food, Housing, Transportation (Bus pass, fuel, etc)",None,8,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,Nothing ,Nothing ,Monthly 1000 aed,500 aed,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/7/2021 9:08:59,Student,Male,"2,500-5,000 AED","0-2,500 AED","Housing, Healthcare","Housing, Transportation (Bus pass, fuel, etc)",Some communities,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,50%,25%,40%,20%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),No change,No change,Slightly Increased (by 1 -50 AED),No change
